Superkingdom,Phylum,Class,Order,Family,Genus,Species_group,Species
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_Shigella,Escherichia_Shigella,Escherichia_Shigella
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola vulgatus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola dorei
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus rivorum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster,Enterocloster bolteae/clostridioformis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus faecalis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus gasseri/johnsonii/paragasseri
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia wexlerae
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides fragilis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia caecimuris
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides uniformis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Parabacteroides merdae
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus thermophilus
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei group,Lactobacillus casei group
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus caprae/epidermidis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides stercoris
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter,[Ruminococcus] gnavus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium,Ruthenibacterium lactatiformans
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides thetaiotaomicron
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia,Roseburia
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,[Clostridium] innocuum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,Faecalibacterium prausnitzii
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter freundii complex
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides xylanisolvens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia hansenii/hominis
